rank,billing_npi,name,provider_type,specialty,city,state,zip,total_claims,total_paid
207,1497014252,ADVANTAGE MANAGEMENT ASSOCIATES INC.,Organization,Home Health,BROOKLYN,NY,11235,1612978,335149379.8
208,1134144801,HENRY FORD HEALTH SYSTEM,Organization,General Acute Care Hospital,DETROIT,MI,48202,9624453,334910515.2
209,1386773273,COMMONWEALTH OF MASSACHUSETTS,Organization,Case Management,ARLINGTON,MA,2476,272805,334275022
210,1073854451,NEW JERSEY DIVISION OF DEVELOPMENTAL DISABILITIES,Organization,"Day Training, Developmentally Disabled Services",HAMILTON,NJ,8691,737688,333873624.6
211,1457456279,HMH HOSPITALS CORPORATION,Organization,General Acute Care Hospital,HACKENSACK,NJ,7601,3535028,333032793.9
212,1770700221,HOWARD CENTER INC,Organization,"Day Training, Developmentally Disabled Services",BURLINGTON,VT,5401,897799,332176357.1
213,1164572616,"THE TUNGLAND COMPANY, LLC",Organization,"Residential Treatment Facility, Intellectual and/or Developmental Disabilities",PHOENIX,AZ,85012,1223875,331813482.8
214,1235677162,LINK HOMECARE-CDPAP LLC.,Organization,Home Health,SOUTH OZONE PARK,NY,11420,2063157,331685847.4
215,1447641493,"CHHUNY, LLC",Organization,Case Management,ROCHESTER,NY,14624,628939,330988084.8
216,1710087127,CHILDREN'S HOSPITAL CORPORATION,Organization,"General Acute Care Hospital, Children",BOSTON,MA,2115,4733583,330793080
217,1619363678,"HORIZON HOME CARE SERVICES, INC.",Organization,Home Health,BRONX,NY,10458,2571655,330224737.7
218,1295869428,COMMONWEALTH OF MASSACHUSETTS-DDS,Organization,Case Management,TAUNTON,MA,2780,277210,326663146.1
219,1245430438,COMMONWEALTH OF PENNSYLVANIA DEPARTMENT OF EDUCATION,Organization,Local Education Agency (LEA),WEST HAZLETON,PA,18202,12967883,326016792.2
220,1437541133,THE ROYAL CARE FI LLC,Organization,Home Health,BROOKLYN,NY,11219,2328850,324861584.3
221,1992980387,"ABOUND HEALTH, LLC",Organization,Community/Behavioral Health,MINT HILL,NC,28227,2201164,324296314.6
222,1669462420,ST JOSEPHS UNIVERSITY MEDICAL CENTER INC.,Organization,General Acute Care Hospital,PATERSON,NJ,7503,4731861,322401873.4
223,1750823381,"FAMILY WELLNESS PROGRAM, LLC",Organization,Home Health,BRONX,NY,10462,2034473,320007764.5
224,1992781470,"CENTERSTONE OF INDIANA, INC.",Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",BLOOMINGTON,IN,47403,3613499,318861367.8
225,1003878539,REGENTS OF THE UNIVERSITY OF MICHIGAN,Organization,General Acute Care Hospital,ANN ARBOR,MI,48109,8665549,317769537.2
226,1811062763,MID ATLANTIC PEMANENTE MEDICAL GROUP,Organization,Health Maintenance Organization,ROCKVILLE,MD,20852,10112770,317626963.9
227,1770795536,MISSISSIPPI DEPARTMENT OF REHABILITAION SVS,Organization,Case Management,JACKSON,MS,39215,782091,317166187.2
228,1447382817,COMMONWEALTH OF MASSACHUSETTS-DDS,Organization,Case Management,PLYMOUTH,MA,2360,324256,316561274.4
229,1770696643,HARTFORD HOSPITAL,Organization,General Acute Care Hospital,HARTFORD,CT,6102,7407519,316278903.3
230,1437156635,"EASTER SEALS DELAWARE & MARYLANDS EASTERN SHORE, INC",Organization,"Psychologist, Intellectual & Developmental Disabilities",NEW CASTLE,DE,19720,1163098,315865302.3
231,1417406679,M AND N HOME CARE SERVICES LLC,Organization,In Home Supportive Care,JAMAICA,NY,11432,2158444,309887048.5
232,1245364595,COMMONWEALTH OF MASSACHUSETTS-DDS,Organization,Case Management,BROCKTON,MA,2301,401166,309701914.6
233,1245239540,"HOME CARE DELIVERED, INC.",Organization,Durable Medical Equipment & Medical Supplies,RICHMOND,VA,23226,5888511,309522643.5
234,1730421553,ADDICTION RECOVERY CARE LLC,Organization,Substance Abuse Rehabilitation Facility,LOUISA,KY,41230,2428894,308959225.3
235,1558756296,EXCEL COPMANION CARE INC,Organization,Home Health,WARMINSTER,PA,18974,1727955,308393772.9
236,1174649644,ACCRA CARE,Organization,Home Health,MINNETONKA,MN,55343,3429973,306828528.1
237,1205965258,COMMONWEALTH OF MASSACHUSETTS,Organization,Case Management,LOWELL,MA,1851,326169,306218639.7
238,1629283197,ALTAMED HEALTH SERVICES CORP.,Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",LOS ANGELES,CA,90027,2506116,305796831.2
239,1902811342,NEW YORK PSYCHOTHERAPY AND COUNSELING CENTER,Organization,Community/Behavioral Health,JAMAICA,NY,11434,3062701,303978534
240,1619341716,NYU LANGONE HOSPITALS,Organization,General Acute Care Hospital,BROOKLYN,NY,11220,4406436,303176085
241,1790835296,"BEACON SPECIALIZED LIVING SERVICES, INC.",Organization,"Residential Treatment Facility, Intellectual and/or Developmental Disabilities",BANGOR,MI,49013,411853,302447890.8
242,1700960580,"DISABILITY SERVICES OF THE SOUTHWEST, INC",Organization,Home Health,SAN ANTONIO,TX,78201,3121516,302345323.2
243,1730278409,PARKSHORE HOME HEALTH CARE LLC,Organization,Home Health,BROOKLYN,NY,11235,1933274,300656752.4
244,1255385399,MACOMB COUNTY COMMUNITY MENTAL HEALTH,Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",CLINTON TWP,MI,48036,1212453,299955611.7
245,1972809051,"AMERICAN LOGISTICS, LLC.",Organization,Transportation Broker,ST. GEORGE,UT,84770,14684050,299874734.9
246,1891799227,"NORTON HOSPITALS, INC",Organization,General Acute Care Hospital,LOUISVILLE,KY,40202,3175044,299002604.2
247,1104981356,CITY OF NEW YORK,Organization,Local Education Agency (LEA),BROOKLYN,NY,11201,8818063,298943537.6
248,1851422661,COMMONWEALTH OF MASS-DDS,Organization,Case Management,SOMERVILLE,MA,2144,334258,298421390
249,1225468663,"PARAMOUNT HOME CARE AGENCY, INC",Organization,Home Health,BROOKLYN,NY,11223,1928966,298393493
250,1538105366,SONORA QUEST LABORATORIES LLC,Organization,Clinical Medical Laboratory,PHOENIX,AZ,85034,28495059,298054860.6
251,1275197055,"INTELLIRIDE, LLC",Organization,Transportation Broker,LOMBARD,IL,60148,4565275,297879003
252,1700120888,"HAMASPIK OF KINGS COUNTY, INC.",Organization,Case Management,BROOKLYN,NY,11219,1141499,295371494
253,1902921380,CORNELL SCOTT HILL HEALTH CORPORATION,Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",NEW HAVEN,CT,6519,3878634,294234308.6
254,1932166980,VALLEY BEHAVIORAL HEALTH INCORPORATED,Organization,"Psychiatry & Neurology, Psychiatry",SALT LAKE CITY,UT,84124,2690066,293427653.4
255,1720471568,"MAGIC HOME CARE, LLC",Organization,Home Health,BROOKLYN,NY,11223,1917268,293400053.3
256,1164887808,"TEMPUS UNLIMITED, INC.",Organization,Voluntary or Charitable,STOUGHTON,MA,2072,8662499,290808661.5
257,1457379448,DAYTON CHILDREN'S HOSPITAL,Organization,"General Acute Care Hospital, Children",DAYTON,OH,45404,3020929,290632680.6
258,1295726032,LABORATORY CORPORATION OF AMERICA HOLDINGS,Organization,Clinical Medical Laboratory,BIRMINGHAM,AL,35233,29662567,289116239
259,1912919481,CHILDRENS HOSPITAL OF THE KINGS DAUGHTERS INC,Organization,"General Acute Care Hospital, Children",NORFOLK,VA,23507,3749193,288158032
260,1356334577,MINIMED DISTRIBUTION CORP.,Organization,Durable Medical Equipment & Medical Supplies,NORTHRIDGE,CA,91325,1451225,288086730.7
261,1992910152,BRIDGEPORT HOSPITAL,Organization,General Acute Care Hospital,BRIDGEPORT,CT,6610,7011413,287340554.4
262,1215921457,CHILDRENS HOSPITAL OF PHILADELPHIA,Organization,"General Acute Care Hospital, Children",PHILADELPHIA,PA,19104,1676908,286882029.6
263,1891765178,COOK CHILDREN'S MEDICAL CENTER,Organization,"General Acute Care Hospital, Children",FORT WORTH,TX,76104,1086550,286651231.6
264,1700947298,GATEWAYS COMMUNITY SERVICES,Organization,Early Intervention Provider Agency,NASHUA,NH,3064,1150766,285983083.8
265,1619224029,"TRI-MED HOME CARE SERVICES, INC.",Organization,Home Health,HEWLETT,NY,11557,1549034,285833300.7
266,1730366824,"HEALTH CONNECT AMERICA, INC",Organization,Community/Behavioral Health,FRANKLIN,TN,37067,3847864,285527371.9
267,1407855240,"ROCKY MOUNTAIN HOLDINGS, LLC",Organization,"Ambulance, Air Transport",SYLACAUGA,AL,35151,225012,285062222.2
268,1891092649,"ATTENDING HOME CARE SERVICES, LLC",Organization,In Home Supportive Care,BROOKLYN,NY,11225,1498229,284703394.2
269,1306388525,"FAMILY COUNSELING CENTER, INC",Organization,Community/Behavioral Health,KENNETT,MO,63857,2555591,284456363.2
270,1639711294,UOFL HEALTH-LOUISVILLE INC,Organization,General Acute Care Hospital,LOUISVILLE,KY,40202,4469131,283151941.2
271,1003039322,DEPARTMENT OF DEVELOPMENTAL SERVICES,Organization,Case Management,WORCESTER,MA,1608,303939,282079072.5
272,1518022763,"GRANITE BAY CARE, INC",Organization,"Residential Treatment Facility, Intellectual and/or Developmental Disabilities",PORTLAND,ME,4103,226124,281653043.3
273,1750368700,LABORATORY CORPORATION OF AMERICA HOLDINGS,Organization,Clinical Medical Laboratory,RESEARCH TRIANGLE PARK,NC,27709,4783978,281437556.4
274,1679602502,COMMONWEALTH OF MASSACHUSETTS,Organization,Case Management,WAKEFIELD,MA,1880,270700,280884596.8
275,1265802847,CARINGHOUSE PROJECTS,Organization,Respite Care,ATLANTIC CITY,NJ,8401,651482,280807223.9
276,1952852113,ABEST CARE INC,Organization,Home Health,FLUSHING,NY,11355,2122166,280570632.1
277,1982869459,B& H HEALTCARE SERVICES INC,Organization,Home Health,BROOKLYN,NY,11211,1638380,280435943.4
278,1932103413,MOUNT SINAI HOSPITAL,Organization,General Acute Care Hospital,NEW YORK,NY,10029,5011660,278959195.3
279,1174689665,BETH ISRAEL MEDICAL CENTER,Organization,General Acute Care Hospital,BROOKLYN,NY,11234,4403111,278662434.2
280,1194706655,YUMA REGIONAL MEDICAL CENTER,Organization,General Acute Care Hospital,YUMA,AZ,85364,6876263,278420282.6
281,1477643690,TEXAS CHILDREN'S HOSPITAL,Organization,"General Acute Care Hospital, Children",HOUSTON,TX,77030,1753239,277277789.7
282,1790721538,QUEST DIAGNOSTICS CLINICAL LABORATORIES INC,Organization,Clinical Medical Laboratory,IRVING,TX,75063,26910771,276762744.6
283,1629407069,"EXACT SCIENCES LABORATORIES, LLC",Organization,Clinical Medical Laboratory,MADISON,WI,53713,983414,276545732.1
284,1386022101,"SUPPORTED LIVING AND EMPLOYMENT SERVICES, INC.",Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",SPRINGFIELD,MO,65807,770929,276415290.1
285,1659315430,COUNTY OF SANTA CRUZ,Organization,Clinic/Center,SANTA CRUZ,CA,95060,1698884,276252681.5
286,1750781076,"BETTER CHOICE HOME CARE, INC.",Organization,Home Health,BROOKLYN,NY,11204,1994881,275735217.5
287,1508089699,DEPARTMENT OF DEVELOPMENTAL SERVICES,Organization,Case Management,PITTSFIELD,MA,1201,341103,275000143.3
288,1174661078,"ABILITY360, INC,",Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",PHOENIX,AZ,85034,1797757,274715743.8
289,1538668165,"HAMASPIK CARE, INC.",Organization,Home Health,SPRING VALLEY,NY,10977,1789951,274420610.7
290,1528105558,COUNTY OF TULARE,Organization,"Clinic/Center, Public Health, State or Local",VISALIA,CA,93277,2865391,273741644.3
291,1477807667,"BYRAM HEALTHCARE CENTERS, INC.",Organization,Pharmacy,TORRANCE,CA,90501,3888341,271781215.8
292,1184259913,STATE OF MISSOURI,Organization,"Counselor, Addiction (Substance Use Disorder)",JEFFERSON CITY,MO,65101,3547699,271594336.3
293,1548202641,"BETH ISRAEL DEACONESS MEDICAL CENTER, INC.",Organization,General Acute Care Hospital,BOSTON,MA,2215,7802371,270281400
294,1154480069,"DAP HEALTH, INC.",Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",EL CAJON,CA,92020,1582590,270209401
295,1396048070,MBI HEALTH SERVICES LLC,Organization,Community/Behavioral Health,WASHINGTON,DC,20019,2758693,270125586.3
296,1447575204,"COOPERATIVE HOME CARE ASSOCIATES, INC",Organization,Home Health,BRONX,NY,10458,1412490,269903559.6
297,1003847807,"BAYADA HOME HEALTH CARE, INC.",Organization,Home Health,TOMS RIVER,NJ,8753,637252,269654252.4
298,1124186747,"RECCO HOME CARE SERVICE, INC.",Organization,Home Health,MASSAPEQUA,NY,11758,1524896,267122655.5
299,1871713495,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Organization,General Acute Care Hospital,HARTFORD,CT,6105,7411868,266391325
300,1740262880,LABORATORY CORPORATION OF AMERICA,Organization,Clinical Medical Laboratory,PHOENIX,AZ,85040,31036545,265904923.9
301,1962564328,COMMUNITY BRIDGES,Organization,Case Management,CONCORD,NH,3301,970369,265469406.6
302,1184722779,REGENTS OF THE UNIVERSITY OF CALIFORNIA,Organization,General Acute Care Hospital,SAN DIEGO,CA,92103,4174520,264994583.8
303,1871543215,STANFORD HEALTH CARE,Organization,General Acute Care Hospital,STANFORD,CA,94305,3937825,264820794.1
304,1386751162,"ACCENTCARE OF NEW YORK, INC.",Organization,Home Health,YONKERS,NY,10701,1475218,264796677.9
305,1902809940,LABORATORY CORPORATION OF AMERICA HOLDINGS,Organization,Clinical Medical Laboratory,BURLINGTON,NC,27215,15254290,264262233.3
306,1700901725,NEW ENGLAND EMERGENCY RESPONSE SYSTEMS INC,Organization,Emergency Response System Companies,SOUTHFIELD,MI,48075,12462007,264102389.6
307,1447510326,GOOD CARE AGENCY INC,Organization,Home Health,BROOKLYN,NY,11235,1562448,264007636.5
308,1720049190,"RISE, INC",Organization,Voluntary or Charitable,BOISE,ID,83713,2097171,263808587.7
309,1194743013,CHILDREN'S HEALTH SYSTEM OF TEXAS,Organization,"General Acute Care Hospital, Children",DALLAS,TX,75235,1364671,263765032.9
310,1295827780,"DEGC ENTERPRISES (U.S.), INC.",Organization,Durable Medical Equipment & Medical Supplies,CLEARWATER,FL,33762,1688554,262561068.2
311,1972954923,"PERSONAL ASSISTANCE SERVICES OF COLORADO, LLC",Organization,In Home Supportive Care,LAKEWOOD,CO,80235,2492970,262441757.2
312,1750482022,"CHILDREN'S HOSPITAL OF WISCONSIN, INC.",Organization,"General Acute Care Hospital, Children",MILWAUKEE,WI,53226,4551447,262198153.5
313,1972047181,CARE FINDERS LLC,Organization,Home Health,NEW YORK,NY,10033,1808240,262161188.8
314,1467523746,"IN-HOME ATTENDANT SERVICES, LTD.",Organization,"Technician, Personal Care Attendant",HOUSTON,TX,77098,3958415,261239884.4
315,1093777492,MAIMONIDES MEDICAL CENTER,Organization,General Acute Care Hospital,BROOKLYN,NY,11219,3389055,260808086
316,1326502865,WE CARE DAILY CLINICS LLC,Organization,"Clinic/Center, Methadone Clinic",AUBURN,WA,98002,1068705,260593398.1
317,1801270137,SAC HEALTH SYSTEM,Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",SAN BERNARDINO,CA,92410,3253616,260215578.5
318,1316158983,"A.W. HOLDINGS, LLC",Organization,"Psychologist, Intellectual & Developmental Disabilities",FORT WAYNE,IN,46809,961373,260208797.5
319,1063431070,"JOHN F MURPHY HOMES, INC.",Organization,Nursing Facility/Intermediate Care Facility,AUBURN,ME,4210,631402,260024323.1
320,1982843124,ALL CARE HOME HEALTH SERVICES LLC,Organization,Home Health,BROOKLYN,NY,11219,1848151,260006276.1
321,1457788275,"IDEAL OPTION, PLLC",Organization,"Clinic/Center, Multi-Specialty",PASCO,WA,99301,3887574,259128731.7
322,1528064409,"VIRTUA - WEST JERSEY HEALTH SYSTEM, INC.",Organization,General Acute Care Hospital,VOORHEES,NJ,8043,3372937,255730619.4
323,1881622892,COMMUNITY MENTAL HEALTH FOR CENTRAL MICHIGAN,Organization,"Psychiatry & Neurology, Psychiatry",MT PLEASANT,MI,48858,935196,255698082.2
324,1912390931,"AMAZING HOME CARE SERVICES, LLC",Organization,Home Health,BRONX,NY,10462,1853690,255223068.5
325,1912914821,SEVENTH-DAY ADVENTISTS LOMA LINDA UNIVERSITY MEDICAL CENTER,Organization,General Acute Care Hospital,LOMA LINDA,CA,92354,3899170,253656709.1
326,1366580706,"CHARTWELL COMMUNITY SERVICES, INC.",Organization,Home Health,ARLINGTON,TX,76006,4491410,253416240.3
327,1790717650,"BRIGHAM & WOMENS HOSPITAL, INC.",Organization,General Acute Care Hospital,BOSTON,MA,2115,6310608,252584159.9
328,1174793996,"X-TREME CARE, LLC",Organization,Home Health,BAY SIDE,NY,11361,1709436,252474520.7
329,1073576740,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,Organization,General Acute Care Hospital,PHOENIX,AZ,85008,4606950,251457852.8
330,1790908002,DEPARTMENT OF DEVELOPMENTAL SERVICES,Organization,Case Management,HOLYOKE,MA,1040,407762,249649772.1
331,1912903717,"DOMINION DIAGNOSTICS, LLC",Organization,Clinical Medical Laboratory,NORTH KINGSTOWN,RI,2852,5526819,249150215.5
332,1134271661,CONNECTICUT CHILDREN'S MEDICAL CENTER,Organization,"General Acute Care Hospital, Children",HARTFORD,CT,6106,2468547,248942412.3
333,1417486531,A PHYSICIANS HOME CARE,Organization,In Home Supportive Care,COLORADO SPRINGS,CO,80907,989004,247924558.3
334,1366780850,COMMUNITY CARE MANAGEMENT PARTNERS LLC (CCMP),Organization,Case Management,NEW YORK,NY,10001,823730,247198154.9
335,1528126133,"ADELANTE HEALTHCARE, INC.",Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",PHOENIX,AZ,85012,2277275,245882154.8
336,1336238237,MERIDIAN SERVICES,Organization,Community/Behavioral Health,MUNCIE,IN,47304,2071229,245212710.9
337,1154788412,"EAGLE EYE FV, INC",Organization,Home Health,BROOKLYN,NY,11235,1761461,244854988.1
338,1740339381,"SYSTEMS UNLIMITED, INC.",Organization,"Day Training, Developmentally Disabled Services",IOWA CITY,IA,52240,161403,244753415.9
339,1245765163,HHSC WIC PROGRAM,Organization,Pharmacy,AUSTIN,TX,78728,1678850,244570607.5
340,1689652166,"LEGACY HOME HEALTH AGENCY, INC.",Organization,Home Health,CORPUS CHRISTI,TX,78405,4320163,244212833.8
341,1922090554,SPECTRUM HEALTH HOSPITALS,Organization,General Acute Care Hospital,GRAND RAPIDS,MI,49503,7025479,243224156
342,1437534559,DAYBREAK COMMUNITY SERVICES TEXAS LLC,Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",FORT WORTH,TX,76109,2301430,243167425.8
343,1760491674,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",Organization,"Counselor, Mental Health",PRESTONSBURG,KY,41653,2626038,243114592.2
344,1912939703,CHILDREN'S HOSPITAL,Organization,"General Acute Care Hospital, Children",WASHINGTON,DC,20010,2196636,242963811
345,1659435840,MEDICAL UNIVERSITY HOSPITAL AUTHORITY,Organization,General Acute Care Hospital,CHARLESTON,SC,29425,5858419,241430552.7
346,1649472853,"I & Y SENIOR CARE, INC.",Organization,Home Health,BROOKLYN,NY,11234,1590061,241261306.7
347,1962083493,"REM MISSOURI, LLC",Organization,"Clinic/Center, Developmental Disabilities",SAINT LOUIS,MO,63146,583225,240850154.7
348,1104802354,PRESBYTERIAN HEALTHCARE SERVICES,Organization,Internal Medicine,ALBUQUERQUE,NM,87109,3995600,240239258.8
349,1851333686,"DANA-FARBER CANCER INSTITUTE, INC.",Organization,General Acute Care Hospital,BOSTON,MA,2215,2372309,240209148.8
350,1548378235,MEDSTAR WASHINGTON HOSPITAL CENTER,Organization,General Acute Care Hospital,WASHINGTON,DC,20010,2832952,239081014.1
351,1750053948,SRH CHN LEAD HEALTH HOME LLC,Organization,Case Management,PEEKSKILL,NY,10566,755970,238967730.9
352,1801992631,NYU LANGONE HOSPITALS,Organization,General Acute Care Hospital,NEW YORK,NY,10016,4685853,238686702.3
353,1477582609,BEHAVIORAL HEALTH NETWORK INC,Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",SPRINGFIELD,MA,1104,2402081,238591774.2
354,1033162987,"CONSUMER DIRECTED CHOICES, INC.",Organization,"Technician, Attendant Care Provider",ALBANY,NY,12205,1402242,238168727.2
355,1679606735,BHRAGS HOME CARE CORP.,Organization,Home Health,BROOKLYN,NY,11212,1254562,237170877.4
356,1588804405,"ALTERNATE STAFFING, INC.",Organization,Home Health,BROOKLYN,NY,11219,1270189,237061792.9
357,1013374222,LSU HEALTH SCIENCES CENTER SHREVEPORT FACULTY GROUP PRACTICE,Organization,Family Medicine,SHREVEPORT,LA,71103,5974394,235663391
358,1649678350,"ALLSTAR HOMECARE AGENCY, INC",Organization,Home Health,BROOKLYN,NY,11220,1733722,234484853.4
359,1194144873,COUNTY OF MILWAUKEE,Organization,Community/Behavioral Health,MILWAUKEE,WI,53205,2600523,234141685.8
360,1467595793,"TRUMAN MEDICAL CENTER, INCORPORATED",Organization,General Acute Care Hospital,KANSAS CITY,MO,64108,1866781,233932013.3
361,1811997638,"MEDLINE INDUSTRIES, LP",Organization,Durable Medical Equipment & Medical Supplies,GRAYSLAKE,IL,60030,6891057,233148643.5
362,1134455942,GREATCARE INC,Organization,Home Health,NEW YORK,NY,10001,1631816,231763646.8
363,1568407310,THE HEALTH AND HOSPITAL CORPORATION OF MARION COUNTY,Organization,General Acute Care Hospital,INDIANAPOLIS,IN,46202,3452765,231531116
364,1720166259,"DIVINE HOUSE, INC.",Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",WILLMAR,MN,56201,857662,230928305.4
365,1184827990,INSTANT CARE OF ARIZONA,Organization,Home Health,PHOENIX,AZ,85016,1817607,229900465.6
366,1912976408,"PLANNED PARENTHOOD/ORANGE AND SAN BERNARDINO COUNTIES, INC.",Organization,Clinic/Center,ORANGE,CA,92866,4607327,229107211
367,1760618961,"STUART T.WILSON C.P.A.,P.C.",Organization,Supports Brokerage,MIDLAND,MI,48640,2620164,228545944.9
368,1043382302,"PROCARE PHARMACY DIRECT, LLC.",Organization,"Pharmacy, Specialty Pharmacy",MONROEVILLE,PA,15146,82891,227313342.2
369,1659601979,NORTHEAST PENNSYLVANIA CENTER FOR INDEPENDENT LIVING,Organization,Supports Brokerage,SCRANTON,PA,18509,3226844,227192119
370,1164487542,"INSPIRA MEDICAL CENTERS, INC.",Organization,General Acute Care Hospital,VINELAND,NJ,8360,3252356,227071353.7
371,1255360517,ROCHESTER GENERAL HOSPITAL,Organization,General Acute Care Hospital,ROCHESTER,NY,14621,3230816,226974802.2
372,1528041811,GROSSMONT HOSPITAL CORPORATION,Organization,General Acute Care Hospital,LA MESA,CA,91942,2443214,226695571.5
373,1285758300,COMMONWEALTH OF MASSACHUSETTS-DDS,Organization,Case Management,NEW BEDFORD,MA,2740,376713,226031966
374,1053772905,SIERRA REGIONAL CENTER,Organization,Respite Care,SPARKS,NV,89431,487946,225241766.7
375,1699896316,"REM COMMUNITY OPTIONS, INC.",Organization,Community/Behavioral Health,BENWOOD,WV,26031,213280,224864469.6
376,1043279011,"PREFERRED HOME HEALTH CARE & NURSING SERVICES, INC.",Organization,Home Health,MOUNT LAUREL,NJ,8054,576921,224601483.9
377,1265529168,STATE OF OKLAHOMA DEPT OF HUMAN SERVICES,Organization,Case Management,OKLAHOMA CITY,OK,73125,493379,224454102
378,1447546007,THE FOGARTY CENTER,Organization,"Day Training, Developmentally Disabled Services",BARRINGTON,RI,2806,789158,224307101.6
379,1023175072,"HABIT OPCO, LLC",Organization,"Clinic/Center, Methadone Clinic",SPRINGFIELD,MA,1105,9635556,224149166.6
380,1578683694,"MYSTIC VALLEY ELDER SERVICES, INC.",Organization,Case Management,MALDEN,MA,2148,999397,222949564.4
381,1851346720,ASHLAND HOSPITAL CORPORATION,Organization,General Acute Care Hospital,ASHLAND,KY,41101,6507603,222763654.8
382,1558416701,"EGLESTON CHILDREN'S HOSPITAL AT EMORY UNIVERSITY, INC.",Organization,"Pediatrics, Pediatric Emergency Medicine",ATLANTA,GA,30322,1940630,222593125.4
383,1366419517,ANTELOPE VALLEY HEALTH CARE DISTRICT,Organization,General Acute Care Hospital,LANCASTER,CA,93534,2405107,222293141.8
384,1366515488,THE CHILDREN'S MERCY HOSPITAL,Organization,"General Acute Care Hospital, Children",KANSAS CITY,MO,64108,1044499,221155052.6
385,1588656870,UNIVERSITY OF UTAH,Organization,General Acute Care Hospital,SALT LAKE CITY,UT,84132,4831388,221143873
386,1053477075,THE HOSPITAL OF CENTRAL CONNECTICUT AT NEW BRITAIN GENERAL AND BRADLEY,Organization,General Acute Care Hospital,NEW BRITAIN,CT,6052,4101984,220100848.5
387,1891770806,LABORATORY CORPORATION OF AMERICA HOLDINGS,Organization,Clinical Medical Laboratory,CHARLESTON,WV,25387,8750297,220037247.6
388,1417954165,"ACTIVSTYLE, LLC",Organization,Durable Medical Equipment & Medical Supplies,SAINT PAUL,MN,55114,3859353,219628282.8
389,1235188673,SPECTRUM HEALTH PRIMARY CARE PARTNERS,Organization,Internal Medicine,GRAND RAPIDS,MI,49506,4161479,219576484.9
390,1467536276,SEATTLE CHILDREN'S HOSPITAL,Organization,"General Acute Care Hospital, Children",SEATTLE,WA,98105,3584766,219534926.7
391,1962728584,AVONDALE CARE GROUP LLC,Organization,Home Health,NEW YORK,NY,10018,1173036,219390745.1
392,1578665048,OPTUM MEDICAL CARE OF NEW JERSEY PC,Organization,Pediatrics,SECAUCUS,NJ,7094,4314959,218818427.3
393,1225546575,FAMILY HEALTHCARE NETWORK,Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",FRESNO,CA,93727,2274796,218299625.7
394,1003930256,COMMONWEALTH OF MASSACHUSETTS-DDS,Organization,Case Management,FALL RIVER,MA,2721,215609,218126934.6
395,1265819106,"REM NEW JERSEY, INC.",Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",SOMERSET,NJ,8873,615141,217946860.1
396,1679587679,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,Organization,General Acute Care Hospital,BRONX,NY,10461,4737613,217677572.2
397,1295752384,NORTHERN VALLEY INDIAN HEALTH INC,Organization,Clinic/Center,WILLOWS,CA,95988,850292,217070731.1
398,1902341050,NEMO HOME CARE,Organization,Case Management,BROOKLYN,NY,11225,1583583,217060278.4
399,1033289533,"QUALITY HEALTHCARE, INC.",Organization,Home Health,BROOKLYN,NY,11230,1154699,216984969
400,1396756938,COUNTY OF LOS ANGELES,Organization,General Acute Care Hospital,LOS ANGELES,CA,90033,214461,216551322.6
401,1518373703,"PRO CARE UNLIMITED, INC",Organization,Home Health,SOUTHFIELD,MI,48034,1728890,216341203.5
402,1689682932,"TEXAS HOME HEALTH OF AMERICA, L.P.",Organization,Home Health,DALLAS,TX,75287,4012447,216291929.6
403,1487632998,GENEDX LLC,Organization,Clinical Medical Laboratory,GAITHERSBURG,MD,20877,445618,215335418.8
404,1255377149,OHIOHEALTH CORPORATION,Organization,General Acute Care Hospital,COLUMBUS,OH,43215,4231106,214992042.2
405,1013919315,ATLANTICARE REGIONAL MEDICAL CENTER,Organization,General Acute Care Hospital,POMONA,NJ,8240,2683355,214909155
406,1790082410,"NEW MILLENIUM NY, INC",Organization,Home Health,FOREST HILLS,NY,11375,1477913,214867089.3
407,1770538068,CNS HEALTHCARE,Organization,"Psychiatry & Neurology, Psychiatry",NOVI,MI,48375,1218556,214273046
408,1962585638,"UNLIMITED CARE, INC.",Organization,Home Health,WHITE PLAINS,NY,10604,1217706,214084111.2
409,1730466590,"PRECISION TOXICOLOGY, LLC",Organization,Clinical Medical Laboratory,SAN DIEGO,CA,92121,5645867,213774817.1
